u_1,u_2,angle,velocity,acceleration,results,time
-0.10708898837413003,-0.00033093273246522783,-0.8688569241487554,-0.013380470896259218,-0.013380470896259218,0.0,1692984460.5993955
-0.1494371184363011,-0.0003473722233724566,-0.8941166039263941,-0.025259679777638815,-0.011879208881379595,0.0,1692984460.645517
-0.17878161096002224,-0.0003473722233733226,-0.927776139129397,-0.033659535203002924,-0.00839985542536411,0.0,1692984460.695442
-0.19019061818250987,-0.0003802512051903767,-0.9672247102638346,-0.03944857113443761,-0.0057890359314346825,0.0,1692984460.7456682
-0.19767058690761236,-0.00041313018700916694,-1.011000615329309,-0.043775905065474394,-0.004327333931036788,0.0,1692984460.7961588
-0.2078137533043009,-0.0003966906960993388,-1.0579040091574694,-0.04690339382816043,-0.003127488762686038,0.0,1692984460.8491712
-0.2126140848952077,-0.0003473722233733226,-1.1065313731844209,-0.04862736402695147,-0.0017239701987910362,0.0,1692984460.8981857
-0.2001200711736884,-0.0004460091688288217,-1.155880998333765,-0.04934962514934413,-0.0007222611223926595,0.0,1692984460.9462006
-0.16276954611138697,-0.000298053750645573,-1.2063670494331156,-0.050486051099350664,-0.0011364259500065384,0.0,1692984460.9955103
-0.06664783973331576,0.07801967988087846,-1.260664826232575,-0.05429777679945936,-0.0038117257001086926,0.0,1692984461.0475307
-0.0003473722234036497,0.17325364628890202,-1.3144078360655949,-0.05374300983301981,0.0005547669664395482,0.0,1692984461.0970275
-0.00011721935065740069,0.26347356446394393,-1.3578931143767716,-0.043485278311176816,0.010257731521842993,0.0,1692984461.1480408
-8.434036884121115e-05,0.301251510038009,-1.3761386020362865,-0.018245487659514732,0.025239790651662083,0.0,1692984461.19551
-8.434036884121115e-05,0.3067258597898982,-1.3647074957966856,0.01143110623960078,0.029676593899115512,0.0,1692984461.2455301
-5.146138702762371e-05,0.3117727828198659,-1.325915551767407,0.03879194402927866,0.027360837789677878,0.0,1692984461.2985418
-8.434036884207991e-05,0.32765332880890097,-1.2626441049819694,0.06327144678543756,0.024479502756158907,0.0,1692984461.3485534
-0.00010077985974843856,0.34499698912172344,-1.176335173272314,0.08630893170965541,0.023037484924217852,0.0,1692984461.3955097
-1.8582405213170282e-05,0.35566621703914636,-1.0687627160559428,0.10757245721637114,0.02126352550671573,0.0,1692984461.4455206
-0.00010077985974930592,0.36692726646362506,-0.9431482223027785,0.12561449375316427,0.01804203653679314,0.0,1692984461.4985385
-0.00010077985974930732,0.3838270602037041,-0.8026927538067952,0.14045546849598328,0.014840974742819,0.0,1692984461.5485554
-0.00010077985975017328,0.4063162796208698,-0.6499159584434315,0.1527767953633637,0.012321326867380397,0.0,1692984461.595513
-0.00011721935065653333,0.4345264403767784,-0.4869134301717628,0.16300252827166875,0.010225732908305057,0.0,1692984461.6455243
-0.00011721935065653333,0.43191256186641647,-0.3156608401973486,0.17125258997441423,0.00825006170274548,0.0,1692984461.6975236
-3.502189611952894e-05,0.4073519673487766,-0.14078886492191622,0.17487197527543236,0.0036193853010181216,0.0,1692984461.7475379
-3.502189611866158e-05,0.23559219070656665,0.03272792944353989,0.1735167943654561,-0.0013551809099762342,0.0,1692984461.7985566
-0.015405945954244304,0.08518729771746884,0.1969118557534403,0.16418392630990042,-0.009332868055555698,0.0,1692984461.845558
-0.11813632661506608,0.012902857418221548,0.3499195309027563,0.15300767514931596,-0.01117625116058446,0.0,1692984461.8955703
-0.2064492754911745,-0.003947620734491187,0.48796672347231773,0.13804719256956144,-0.01496048257975452,0.0,1692984461.9485826
-0.25928580215849306,-0.0039804997163453825,0.6066248264219349,0.11865810294961719,-0.019389089619944243,0.0,1692984461.9985113
-0.2767938610186905,-0.004046257680058074,0.7027740737442469,0.09614924732231198,-0.022508855627305212,0.0,1692984462.046529
-0.27664590559152924,-0.004046257680057215,0.7761499021949687,0.07337582845072178,-0.022773418871590193,0.0,1692984462.09586
-0.2751827908121097,-0.004013378698202159,0.8283057375615133,0.052155835366544556,-0.02121999308417723,0.0,1692984462.1470218
-0.27228944023784607,-0.004013378698201299,0.8609555336716262,0.03264979611011301,-0.019506039256431545,0.0,1692984462.1970346
-0.28534239681371554,-0.0039804997163453825,0.8760162493987823,0.01506071572715606,-0.01758908038295695,0.0,1692984462.2475111
-0.3066479783678536,-0.0039969392072733406,0.8734633303060864,-0.0025529190926959107,-0.01761363481985197,0.0,1692984462.2955298
-0.31513075622131215,-0.0039969392072733406,0.8524766982112817,-0.020986632094804683,-0.018433713002108772,0.0,1692984462.3463545
-0.3148184058738788,-0.00401337869820044,0.8141986449515302,-0.0382780532597515,-0.017291421164946814,0.0,1692984462.3973742
-0.30807821416823883,-0.0038983022617064544,0.7609927990800466,-0.053205845871483574,-0.014927792611732075,0.0,1692984462.4490397
-0.30331076150097075,-0.003964060225417426,0.6958937911215469,-0.06509900795849961,-0.011893162087016042,0.0,1692984462.4957182
-0.28639452429682943,-0.0039804997163453825,0.6214386408583531,-0.07445515026319381,-0.009356142304694197,0.0,1692984462.5461152
-0.2522003811659653,-0.003914741752635275,0.5410599108724534,-0.08037872998589969,-0.005923579722705876,0.0,1692984462.5965075
-0.2263739395107804,-0.004013378698201299,0.45908647835854416,-0.08197343251390926,-0.001594702528009566,0.0,1692984462.6475048
-0.15520737998082942,-0.004046257680058933,0.37809493937900346,-0.08099153897954069,0.000981893534368579,0.0,1692984462.6985178
-0.0618639477859565,-0.004013378698201299,0.3031838589604744,-0.07491108041852906,0.0060804585610116264,0.0,1692984462.7455096
-0.010079550856776134,-0.004013378698202158,0.23923571270139118,-0.06394814625908321,0.01096293415944586,0.0,1692984462.796524
-0.00013365884156462808,0.008381997436578002,0.18705788484291355,-0.052177827858477625,0.011770318400605585,0.0,1692984462.848541
-3.502189611866158e-05,0.06753128496118246,0.1448646753431532,-0.04219320949976035,0.00998461835871728,0.0,1692984462.8995523
-0.00011721935065826805,0.09664562251774203,0.11179237191460817,-0.03307230342854504,0.009120906071215308,0.0,1692984462.9461389
-0.00010077985975451149,0.11545239939702674,0.08698837040430825,-0.02480400151029992,0.008268301918245116,0.0,1692984462.9961665
-8.434036884034379e-05,0.13097127811286638,0.06972474587560597,-0.017263624528702285,0.007540376981597635,0.0,1692984463.046179
-0.00010077985974843856,0.1322864373213118,0.05943676596422519,-0.010287979911380783,0.006975644617321502,0.0,1692984463.0992343
-0.00010077985974930592,0.12289948845429426,0.05534329467050102,-0.00409347129372417,0.006194508617656612,0.0,1692984463.1482496
-8.434036884121115e-05,0.10861357145739829,0.05651245307337134,0.0011691584028703274,0.005262629696594498,0.0,1692984463.1962662
-6.790087793398376e-05,0.10442150143714275,0.06203102199782253,0.005518568924451191,0.004349410521580863,0.0,1692984463.2464266
-8.434036884207851e-05,0.10450369888859687,0.07142578125720836,0.009394759259385821,0.0038761903349346302,0.0,1692984463.2994392
-0.00011721935065740069,0.10619696638781437,0.08444514075756222,0.013019359500353864,0.0036246002409680424,0.0,1692984463.349454
-8.434036884121115e-05,0.10959994087313607,0.10095412017345208,0.016508979415889854,0.003489619915535991,0.0,1692984463.3961504
-0.00010077985974843856,0.1155017178679955,0.1209180870570361,0.01996396688358402,0.0034549874676941678,0.0,1692984463.446271
-2.1429143059442655e-06,0.10971501730478683,0.14439160894507547,0.023473521888039375,0.0035095550044553533,0.0,1692984463.4982915
-5.146138702675635e-05,0.07560307479424547,0.17122304406479652,0.026831435119721057,0.003357913231681682,0.0,1692984463.548303
-1.858240521230292e-05,0.026547634783927066,0.20087476261783677,0.029651718553040236,0.0028202834333191794,0.0,1692984463.59651
-6.790087793398376e-05,-0.0008734359325146754,0.23290607059082843,0.032031307972991675,0.002379589419951442,0.0,1692984463.6457253
-0.05998984578930548,-0.002073518769280991,0.2675094106395376,0.03460334004870913,0.0025720320757174576,0.0,1692984463.6973457
-0.19505670772744924,-0.0022872321512238114,0.3016090144238164,0.034099603784278815,-0.0005037362644303142,0.0,1692984463.766368
-0.2576747319553479,-0.00241874807857769,0.3271375699944688,0.0255285555706524,-0.008571048213626411,0.0,1692984463.8293886
-0.2748704404660079,-0.002599582478699952,0.3408410188525,0.013703448858031216,-0.011825106712621186,0.0,1692984463.8795571
-0.28361625016205905,-0.002533824515017405,0.3426839883961567,0.0018429695436567237,-0.011860479314374492,0.0,1692984463.9305687
-0.28333677879945474,-0.0025995824786990904,0.33324274226464096,-0.009441246131515752,-0.011284215675172475,0.0,1692984463.9805799
-0.27648151067250015,-0.0025831429877806083,0.3137167091091015,-0.01952603315553948,-0.010084787024023727,0.0,1692984464.0295863
-0.27049753562131873,-0.002632461460541226,0.2856703809040423,-0.028046328205059215,-0.008520295049519738,0.0,1692984464.0796106
-0.2649574268553466,-0.0026489009514648804,0.25045877063920297,-0.03521161026483934,-0.007165282059780125,0.0,1692984464.130626
-0.25897345181274994,-0.002681779933307017,0.2092566822236071,-0.04120208841559585,-0.0059904781507565084,0.0,1692984464.1812134
-0.2534991010224,-0.002796856369755356,0.16311215828729744,-0.04614452393630966,-0.004942435520713811,0.0,1692984464.2322252
-0.23454436693647404,-0.002714658915148291,0.11289209692526923,-0.05022006136202821,-0.004075537425718548,0.0,1692984464.2962396
-0.20720549211012623,-0.0027146589151474275,0.05992785426846842,-0.05296424265680082,-0.002744181294772606,0.0,1692984464.3492515
-0.1501933350500623,-0.002780416878833425,0.005546114422443245,-0.05438173984602517,-0.001417497189224357,0.0,1692984464.3992639
-0.048728794331155095,-0.0026982194242263597,-0.04834212633894912,-0.05388824076139236,0.00049349908463281,0.0,1692984464.4632897
-0.010605614567372251,-0.0028297353515992175,-0.09935716115195008,-0.05101503481300096,0.0028732059483914042,0.0,1692984464.5131955
-0.0005117671325062551,0.04157332929876063,-0.1478783734658333,-0.048521212313883226,0.002493822499117736,0.0,1692984464.5649273
-1.858240521230292e-05,0.11094797907179502,-0.19320615123126544,-0.04532777776543215,0.0031934345484510777,0.0,1692984464.614564
-3.502189611953033e-05,0.15505513100267232,-0.23286071178422763,-0.03965456055296217,0.0056732172124699795,0.0,1692984464.6635492
-0.00011721935065653333,0.19552915487992809,-0.2653912952819487,-0.03253058349772109,0.007123977055241078,0.0,1692984464.712517
-0.00011721935065566597,0.2096342369481587,-0.2893215698390018,-0.0239302745570531,0.008600308940667987,0.0,1692984464.7645156
-5.146138702849245e-05,0.2097328738854062,-0.30471767755707346,-0.015396107718071638,0.008534166838981462,0.0,1692984464.8315363
-8.434036884381463e-05,0.19656484272752853,-0.3124660797898614,-0.007748402232787948,0.007647705485283689,0.0,1692984464.896551
-8.434036884207851e-05,0.17373039150231642,-0.3142156756785111,-0.0017495958886496812,0.005998806344138267,0.0,1692984464.9465115
-6.79008779331164e-05,0.14484620772686888,-0.31207667157273844,0.0021390041057726644,0.0038885999944223456,0.0,1692984464.9985225
-5.146138702762509e-05,0.15835946847984828,-0.30832063754922334,0.0037560340235151166,0.0016170299177424522,0.0,1692984465.0485353
-6.79008779331164e-05,0.18056921925245145,-0.30219338829754816,0.006127249251675168,0.002371215228160051,0.0,1692984465.0956726
-0.00010077985974843856,0.19107405318221238,-0.2924492929028936,0.009744095394654513,0.0036168461429793458,0.0,1692984465.1457787
-0.00011721935065653333,0.18757244187788863,-0.27872774099198105,0.013721551910912587,0.0039774565162580735,0.0,1692984465.1967955
-3.502189611953033e-05,0.1712809075200903,-0.2615821479349093,0.01714559305707175,0.0034240411461591647,0.0,1692984465.2478693
-6.79008779348525e-05,0.13222067935949258,-0.24225412550670425,0.019328022428205055,0.0021824293711333043,0.0,1692984465.297877
-5.146138702849245e-05,0.09741827856331842,-0.22311737542699214,0.0191367500797121,-0.00019127234849295577,0.0,1692984465.3465123
-0.00011721935066087014,0.05518522755020461,-0.20591392128947117,0.01720345413752097,-0.0019332959421911279,0.0,1692984465.3965318
-5.1461387025888985e-05,0.031216450157605595,-0.19251759161806425,0.013396329671406915,-0.0038071244661140565,0.0,1692984465.4475703
-6.790087793398376e-05,-0.0013994996417270311,-0.1835755540499817,0.00894203756808257,-0.004454292103324344,0.0,1692984465.4975817
-5.146138702762509e-05,-0.002221474187547305,-0.18001884203243143,0.003556712017550247,-0.0053853255505323236,0.0,1692984465.5457664
-0.00015009833247272287,-0.002287232151222085,-0.18117883360233214,-0.0011599915699007117,-0.004716703587450959,0.0,1692984465.5958128
-5.1461387025888985e-05,-0.002336550623982703,-0.186610203988631,-0.005431370386298864,-0.004271378816398152,0.0,1692984465.647814
-1.858240521230292e-05,-0.0024187480785794165,-0.19601388419893645,-0.009403680210305432,-0.003972309824006568,0.0,1692984465.715514
-0.006166952012188839,-0.00253382451501913,-0.20921627762989423,-0.013202393430957773,-0.0037987132206523406,0.0,1692984465.7796001
-0.019466500208214485,-0.0025667034968586784,-0.2262288021253171,-0.01701252449542288,-0.003810131064465107,0.0,1692984465.832612
-8.434036884121115e-05,0.046801087332295946,-0.24721364628755343,-0.02098484416223635,-0.0039723196668134675,0.0,1692984465.8996394
-3.502189611953033e-05,0.1094026669875117,-0.2694552521952883,-0.022241605907734885,-0.0012567617454985359,0.0,1692984465.9462752
-8.434036884207851e-05,0.15503869151290722,-0.2894216427229547,-0.019966390527666338,0.002275215380068548,0.0,1692984465.9965107
-3.502189612126782e-05,0.20034592533995835,-0.3047079624551739,-0.015286319732219208,0.00468007079544713,0.0,1692984466.0485222
-6.79008779331164e-05,0.22562986020393913,-0.31296656058833755,-0.008258598133163677,0.007027721599055532,0.0,1692984466.115538
-6.79008779331164e-05,0.2389951650497907,-0.3132668849406423,-0.000300324352304775,0.007958273780858902,0.0,1692984466.1795576
-5.146138702675635e-05,0.22982192999918655,-0.30552616442587255,0.0077407205147697455,0.00804104486707452,0.0,1692984466.247571
-0.00010077985974843856,0.191074053172836,-0.2911482904526238,0.014377873973248724,0.0066371534584789785,0.0,1692984466.299582
-0.00011721935065566597,0.04491054590781419,-0.2732504811134227,0.01789780933920112,0.003519935365952397,0.0,1692984466.3632789
-3.502189612039769e-05,-0.0019748818238090006,-0.2611193635386544,0.012131117574768289,-0.00576669176443283,0.0,1692984466.413299
-5.1461387025888985e-05,-0.002879053824365868,-0.25653628105402965,0.004583082484624751,-0.007548035090143537,0.0,1692984466.464303
-3.502189612039769e-05,-0.0030434487335920662,-0.25858249649929843,-0.00204621544526881,-0.006629297929893562,0.0,1692984466.5143013
-0.00010077985974843856,-0.0031585251700550557,-0.26663391757159016,-0.008051421072291726,-0.006005205627022916,0.0,1692984466.565265
-2.1429143068116273e-06,-0.003142085679131404,-0.28027531206097234,-0.013641394489382203,-0.005589973417090476,0.0,1692984466.6299589
